method,episodes,accuracy,violation,false_refusal,task_success,policy_tokens,total_tokens,coverage,irrelevant_rate,retrieved
All policy (clean),90,0.9667,0.0,0.0333,0.9667,947.03,3686.69,1.0,0.9738,31.37
All policy (noisy),90,0.7778,0.0,0.2222,0.7778,964.62,3752.34,1.0,0.9745,32.01
Carried policy,90,0.4444,0.2778,0.2,0.4444,26.18,339.11,0.1667,0.6333,0.92
MSR (clean),90,1.0,0.0,0.0,1.0,25.63,327.79,1.0,0.0,0.83
MSR (noisy),90,0.7889,0.0,0.2,0.7889,35.54,373.61,0.9877,0.2833,1.21
No policy,90,0.5333,0.4222,0.0111,0.5333,0.0,225.38,0.0,0.0,0.0
Policy-list diagnostic,90,1.0,0.0,0.0,1.0,25.63,325.59,1.0,0.0,0.83
